[2024-03-04 10:10:30,027] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:30,027] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:30,027] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:30,027] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:30,027] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:30,027] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:33,698] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:33,698] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:33,698] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:33,698] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:33,698] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:33,698] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:33,698] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:33,698] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:33,698] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:33,698] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:42,078] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:42,078] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:42,078] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:42,078] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:42,078] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:42,078] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:42,078] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:42,078] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:42,078] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:42,078] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:42,078] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:45,974] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:45,974] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:45,974] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:45,974] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:45,974] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:45,974] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:45,974] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:45,974] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:45,974] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:45,974] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:45,974] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:45,974] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:55,712] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:55,712] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:55,712] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:55,712] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:55,712] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:55,712] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:55,712] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:55,712] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:55,712] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:55,712] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:55,712] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:55,712] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:55,712] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:59,944] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:59,944] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:59,944] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:59,944] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:59,944] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

